code,species_name
ABNDB04010,BULWbulw - Bulwer's Petrel (Bulweria bulwerii) - SNA
ABNDB06020,CALOdiom - Cory's Shearwater (Calonectris diomedea) - SNA
ABNDB01010,FULMglac - Northern Fulmar (Fulmarus glacialis) - S5N
ABNDB03180,PTERarmi - Trindade Petrel (Pterodroma arminjoniana) - SNA
ABNDB03020,PTERcaho - Bermuda Petrel (Pterodroma cahow) - SU
ABNDB03150,PTERfeae - Fea's Petrel (Pterodroma feae) - SNA
ABNDB03010,PTERhasi - Black-capped Petrel (Pterodroma hasitata) - SNA
ABNDB07160,PUFFbaro - Barolo Shearwater (Puffinus baroli) - SNA
ABNDB07130,PUFFlher - Audubon's Shearwater (Puffinus lherminieri) - SNA
ABNDB07090,PUFFpuff - Manx Shearwater (Puffinus puffinus) - S1?B
ABNDC04170,OCEAcast - Band-Rumped Storm-Petrel (Hydrobates castro) - SNA
ABNDC04130,OCEAleuc - Leach's Storm-Petrel (Hydrobates leucorhous) - S3B
ABNDC03010,HYDRpela - European Storm-Petrel (Hydrobates pelagicus) - SNA
ABNDC01010,OCEAocea - Wilson's Storm-Petrel (Oceanites oceanicus) - S5N
ABNDC02010,PELAmari - White-faced Storm-Petrel (Pelagodroma marina) - SNA
ABNFA01020,PHAEaeth - Red-billed Tropicbird (Phaethon aethereus) - SNA
ABNFA01010,PHAElept - White-tailed Tropicbird (Phaethon lepturus) - SNA
ABNFB02010,MORUbass - Northern Gannet (Morus bassanus) - SHB
ABNFB01010,SULAdact - Masked Booby (Sula dactylatra) - SNA
ABNFB01030,SULAleuc - Brown Booby (Sula leucogaster) - SNA
ABNFB01040,SULAsula - Red-footed Booby (Sula sula) - SNA
ABNFC01010,PELEeryt - American White Pelican (Pelecanus erythrorhynchos) - SNA
ABNFC01020,PELEocci - Brown Pelican (Pelecanus occidentalis) - SNA
ABNFD01020,NANNauri - Double-crested Cormorant (Nannopterum auritum) - S5B
ABNFD01010,"PHALcarb - Great Cormorant (Phalacrocorax carbo) - S2S3B,S2S3N"
ABNFF01010,FREGmagn - Magnificent Frigatebird (Fregata magnificens) - SNA
ABNGA04040,ARDEalba - Great Egret (Ardea alba) - SNA
ABNGA04020,ARDEcine - Gray Heron (Ardea cinerea) - SNA
ABNGA04010,"ARDEhero - Great Blue Heron (Ardea herodias) - S4B,S4S5M"
ABNGA01020,"BOTAlent - American Bittern (Botaurus lentiginosus) - S3S4B,S4S5M"
ABNGA07010,BUBUibis - Cattle Egret (Bubulcus ibis) - SNA
ABNGA08010,BUTOvire - Green Heron (Butorides virescens) - SNA
ABNGA06040,EGREcaer - Little Blue Heron (Egretta caerulea) - SNA
ABNGA06020,EGREgarz - LIttle Egret (Egretta garzetta) - SNA
ABNGA06070,EGREgula - Western Reef-Heron (Egretta gularis) - SNA
ABNGA06060,EGRErufe - Reddish Egret (Egretta rufescens) - SNA
ABNGA06030,EGREthul - Snowy Egret (Egretta thula) - SNA
ABNGA06050,EGREtric - Tricolored Heron (Egretta tricolor) - SNA
ABNGA02010,IXOBexil - Least Bittern (Ixobrychus exilis) - SUB
ABNGA13010,NYCTviol - Yellow-crowned Night-heron (Nyctanassa violacea) - SNA
ABNGA11010,NYCTnyct - Black-crowned Night-heron (Nycticorax nycticorax) - S1B
ABNGE01010,EUDOalbu - White Ibis (Eudocimus albus) - SNA
ABNGE01020,EUDOrube - Scarlet Ibis (Eudocimus ruber) - SNA
ABNGE05010,PLATajaj - Roseate Spoonbill (Platalea ajaja) - SNA
ABNGE02020,PLEGchih - White-faced Ibis (Plegadis chihi) - SNA
ABNGE02010,PLEGfalc - Glossy Ibis (Plegadis falcinellus) - SNA
ABNGF02010,MYCTamer - Wood Stork (Mycteria americana) - SNA
ABNHA01010,PHOErube - American Flamingo (Phoenicopterus ruber) - SNA
ABNJB09010,AIXspon - Wood Duck (Aix sponsa) - S5B
ABNJB10110,"ANASacut - Northern Pintail (Anas acuta) - S1B,SUM"
ABNJB10010,"ANAScrec - Green-winged Teal (Anas crecca) - S4S5B,S5M"
ABNJB10011,"ANAScrca - American Green-winged Teal (Anas crecca carolinensis) - S4S5B,S5M"
ABNJB10014,ANAScrcr - European Green-winged Teal (Anas crecca crecca) - SNA
ABNJB10200,"ANASplat - Mallard (Anas platyrhynchos) - S5B,S5N"
ABNJB10240,ANASplru - Mallard x American Black Duck Hybrid (Anas platyrhynchos x rubripes) - SNA
ABNJB10040,"ANASrubr - American Black Duck (Anas rubripes) - S5B,S5N"
ABNJB03040,ANSEalbi - Greater White-fronted Goose (Anser albifrons) - SNA
ABNJB03060,ANSEanse - Graylag Goose (Anser anser) - SNA
ABNJB03020,ANSEbrac - Pink-footed Goose (Anser brachyrhynchus) - SNA
ABNJB04010,ANSEcaer - Snow Goose (Anser caerulescens) - SNA
ABNJB04020,ANSEross - Ross' Goose (Anser rossii) - SNA
ABNJB03050,ANSEserr - Tundra Bean-Goose (Anser serrirostris) - SNA
ABNJB11070,AYTHaffi - Lesser Scaup (Aythya affinis) - SUM
ABNJB11030,AYTHamer - Redhead (Aythya americana) - SHB
ABNJB11040,AYTHcoll - Ring-necked Duck (Aythya collaris) - S5B
ABNJB11050,AYTHfuli - Tufted Duck (Aythya fuligula) - SNA
ABNJB11060,"AYTHmari - Greater Scaup (Aythya marila) - S4N,SUM"
ABNJB11020,AYTHvali - Canvasback (Aythya valisineria) - SNA
ABNJB05010,BRANbern - Brant (Branta bernicla) - S3M
ABNJB05030,"BRANcana - Canada Goose (Branta canadensis) - SUB,S4N,S5M"
ABNJB05050,BRANhutc - Cackling Goose (Branta hutchinsii) - SNA
ABNJB05020,BRANleuc - Barnacle Goose (Branta leucopsis) - SNA
ABNJB18030,BUCEalbe - Bufflehead (Bucephala albeola) - S3S4N
ABNJB18010,"BUCEclan - Common Goldeneye (Bucephala clangula) - S4B,S4N,S5M"
ABNJB18020,"BUCEisla - Barrow's Goldeneye (Bucephala islandica) - S1N,SUM"
ABNJB18021,"BUCEis.1 - Barrow's Goldeneye - Eastern Population (Bucephala islandica pop. 1) - S1N,SUM"
ABNJB14010,CAMPlabr - Labrador Duck (Camptorhynchus labradorius) - SXN
ABNJB16010,CLANhyem - Long-tailed Duck (Clangula hyemalis) - S5N
ABNJB02030,CYGNbucc - Trumpeter Swan (Cygnus buccinator) - SNA
ABNJB02010,CYGNcolu - Tundra Swan (Cygnus columbianus) - SNA
ABNJB02040,CYGNolor - Mute Swan (Cygnus olor) - SNA
ABNJB01040,DENDautu - Black-Bellied Whistling-Duck (Dendrocygna autumnalis) - SNA
ABNJB01010,DENDbico - Fulvous Whistling-Duck (Dendrocygna bicolor) - SNA
ABNJB15010,HISThist - Harlequin Duck (Histrionicus histrionicus) - S2N
ABNJB15011,HISThi.1 - Harlequin Duck - Eastern population (Histrionicus histrionicus pop. 1) - S2N
ABNJB20010,"LOPHcucu - Hooded Merganser (Lophodytes cucullatus) - S4S5B,S5M"
ABNJB10180,"MAREamer - American Wigeon (Mareca americana) - S4B,S4S5M"
ABNJB10170,MAREpene - Eurasian Wigeon (Mareca penelope) - SNA
ABNJB10160,"MAREstre - Gadwall (Mareca strepera) - S2B,SUM"
ABNJB17040,MELAamer - American Scoter (Melanitta americana) - S4N
ABNJB17070,"MELAdegl - White-winged Scoter (Melanitta deglandi) - S2N,S4M"
ABNJB17020,"MELApers - Surf Scoter (Melanitta perspicillata) - S2N,S4M"
ABNJB21010,"MERGmerg - Common Merganser (Mergus merganser) - S5B,S4N"
ABNJB21020,"MERGserr - Red-breasted Merganser (Mergus serrator) - S3B,S4S5N,S5M"
ABNJB22030,OXYUjama - Ruddy Duck (Oxyura jamaicensis) - S1B
ABNJB12010,"SOMAmoll - Common Eider (Somateria mollissima) - S2B,S2N,S4M"
ABNJB12020,SOMAspec - King Eider (Somateria spectabilis) - SNA
ABNJB10150,"SPATclyp - Northern Shoveler (Spatula clypeata) - S2B,SUM"
ABNJB10140,SPATcyan - Cinnamon Teal (Spatula cyanoptera) - SNA
ABNJB10130,SPATdisc - Blue-winged Teal (Spatula discors) - S3B
ABNJB10120,SPATquer - Garganey (Spatula querquedula) - SNA
ABNKA02010,"CATHaura - Turkey Vulture (Cathartes aura) - S2S3B,S4S5M"
ABNKA01010,CORAatra - Black Vulture (Coragyps atratus) - SNA
ABNKC12061,ACCIatri - American Goshawk (Accipiter atricapillus) - S3S4
ABNKC12040,"ACCIcoop - Cooper's Hawk (Accipiter cooperii) - S1?B,SUN,SUM"
ABNKC12020,ACCIstri - Sharp-shinned Hawk (Accipiter striatus) - S5
ABNKC22010,AQUIchry - Golden Eagle (Aquila chrysaetos) - SNA
ABNKC19090,BUTEalbo - Zone-tailed Hawk (Buteo albonotatus) - SNA
ABNKC19110,BUTEjama - Red-tailed Hawk (Buteo jamaicensis) - S5
ABNKC19130,BUTElago - Rough-legged Hawk (Buteo lagopus) - S3N
ABNKC19030,BUTEline - Red-shouldered Hawk (Buteo lineatus) - SNA
ABNKC19050,BUTEplat - Broad-winged Hawk (Buteo platypterus) - S5B
ABNKC19070,BUTEswai - Swainson's Hawk (Buteo swainsoni) - SNA
ABNKC11011,"CIRChuds - Northern Harrier (Circus hudsonius) - S4B,S4S5M"
ABNKC04010,ELANforf - Swallow-tailed Kite (Elanoides forficatus) - SNA
ABNKC10010,HALIleuc - Bald Eagle (Haliaeetus leucocephalus) - S5
ABNKC10030,HALIpela - Steller's Sea-eagle (Haliaeetus pelagicus) - SNA
ABNKC09010,ICTImiss - Mississippi Kite (Ictinia mississippiensis) - SNA
ABNKC01010,"PANDhali - Osprey (Pandion haliaetus) - S4S5B,S5M"
ABNKD02030,CARAplan - Crested Caracara (Caracara plancus) - SNA
ABNKD06030,FALCcolu - Merlin (Falco columbarius) - S5B
ABNKD06070,"FALCpere - Peregrine Falcon (Falco peregrinus) - S1B,SUM"
ABNKD06075,"FALCpe.1 - Peregrine Falcon - anatum/tundrius (Falco peregrinus pop. 1) - S1B,SUM"
ABNKD06080,FALCrust - Gyrfalcon (Falco rusticolus) - SUN
ABNKD06020,"FALCspar - American Kestrel (Falco sparverius) - S3B,S4S5M"
ABNKD06010,FALCtinn - Eurasian Kestrel (Falco tinnunculus) - SNA
ABNLC11010,BONAumbe - Ruffed Grouse (Bonasa umbellus) - S5
ABNLC09010,CANAcana - Spruce Grouse (Canachites canadensis) - S4
ABNLC21020,COLIvirg - Northern Bobwhite (Colinus virginianus) - SNA
ABNLC10010,WIPT - Willow Ptarmigan (Lagopus lagopus) - SNA
ABNLC10020,LAGOmuta - Rock Ptarmigan (Lagopus muta) - SNA
ABNLC14010,MELEgall - Wild Turkey (Meleagris gallopavo) - SNA
ABNLC01010,PERDperd - Grey Partridge (Perdix perdix) - SNA
ABNLC07010,PHAScolc - Ring-necked Pheasant (Phasianus colchicus) - SNA
ABNME01010,COTUnove - Yellow Rail (Coturnicops noveboracensis) - SUB
ABNME04010,CREXcrex - Corn Crake (Crex crex) - SNA
ABNME14020,FULIamer - American Coot (Fulica americana) - S1B
ABNME13030,GALLgale - Common Gallinule (Gallinula galeata) - S1B
ABNME03040,LATEjama - Black Rail (Laterallus jamaicensis) - SNA
ABNME12010,PORPmart - Purple Gallinule (Porphyrio martinicus) - SNA
ABNME08020,PORZcaro - Sora (Porzana carolina) - S5B
ABNME05050,RALLcrep - Clapper Rail (Rallus crepitans) - SNA
ABNME05070,RALLeleg - King Rail (Rallus elegans) - SNA
ABNME05030,RALLlimi - Virginia Rail (Rallus limicola) - S2S3B
ABNMJ01010,ARAMguar - Limpkin (Aramus guarauna) - SNA
ABNMK01010,ANTIcana - Sandhill Crane (Antigone canadensis) - SNA
ABNNB03050,CHARhiat - Common Ringed Plover (Charadrius hiaticula) - SNA
ABNNB03070,CHARmelo - Piping Plover (Charadrius melodus) - S1B
ABNNB03071,CHARmeme - Piping Plover melodus subspecies (Charadrius melodus melodus) - S1B
ABNNB03030,CHARnivo - Snowy Plover (Charadrius nivosus) - SNA
ABNNB03060,"CHARsemi - Semipalmated Plover (Charadrius semipalmatus) - S1B,S4M"
ABNNB03090,CHARvoci - Killdeer (Charadrius vociferus) - S3B
ABNNB03040,CHARwils - Wilson's Plover (Charadrius wilsonia) - SNA
ABNNB02020,PLUVapri - European Golden-Plover (Pluvialis apricaria) - SNA
ABNNB02030,PLUVdomi - American Golden-Plover (Pluvialis dominica) - S2S3M
ABNNB02040,PLUVfulv - Pacific Golden-Plover (Pluvialis fulva) - SNA
ABNNB02010,PLUVsqua - Black-bellied Plover (Pluvialis squatarola) - S3M
ABNNB01010,VANEvane - Northern Lapwing (Vanellus vanellus) - SNA
ABNNC01010,HAEMpall - American Oystercatcher (Haematopus palliatus) - SNRB
ABNND01010,HIMAmexi - Black-necked Stilt (Himantopus mexicanus) - SNA
ABNND02010,RECUamer - American Avocet (Recurvirostra americana) - SNA
ABNNF04020,"ACTImacu - Spotted Sandpiper (Actitis macularius) - S3S4B,S5M"
ABNNF09010,ARENinte - Ruddy Turnstone (Arenaria interpres) - S3M
ABNNF06010,BARTlong - Upland Sandpiper (Bartramia longicauda) - S1B
ABNNF11140,CALIacum - Sharp-Tailed Sandpiper (Calidris acuminata) - SNA
ABNNF11030,"CALIalba - Sanderling (Calidris alba) - S2N,S3M"
ABNNF11170,CALIalpi - Dunlin (Calidris alpina) - S4M
ABNNF11120,CALIbair - Baird's Sandpiper (Calidris bairdii) - SNA
ABNNF11020,CALIcanu - Red Knot (Calidris canutus) - S2M
ABNNF11028,CALIcaru - Red Knot rufa subspecies (Calidris canutus rufa) - S2M
ABNNF13010,CALIfalc - Broad-billed Sandpiper (Calidris falcinellus) - SNA
ABNNF11180,CALIferr - Curlew Sandpiper (Calidris ferruginea) - SNA
ABNNF11110,CALIfusc - White-rumped Sandpiper (Calidris fuscicollis) - S4M
ABNNF11190,CALIhima - Stilt Sandpiper (Calidris himantopus) - SNA
ABNNF11150,CALImari - Purple Sandpiper (Calidris maritima) - S3S4N
ABNNF11050,CALImaur - Western Sandpiper (Calidris mauri) - SNA
ABNNF11130,CALImela - Pectoral Sandpiper (Calidris melanotos) - S3M
ABNNF11070,CALIminu - Little Stint (Calidris minuta) - SNA
ABNNF11100,"CALIminu - Least Sandpiper (Calidris minutilla) - S1B,S4M"
ABNNF15010,CALIpugn - Ruff (Calidris pugnax) - SNA
ABNNF11040,CALIpusi - Semipalmated Sandpiper (Calidris pusilla) - S3M
ABNNF11060,CALIrufi - Red-necked Stint (Calidris ruficollis) - SNA
ABNNF14010,CALIsubr - Buff-breasted Sandpiper (Calidris subruficollis) - SNA
ABNNF18030,"GALLdeli - Wilson's Snipe (Gallinago delicata) - S3B,S5M"
ABNNF16010,LIMNgris - Short-billed Dowitcher (Limnodromus griseus) - S3M
ABNNF16020,LIMNscol - Long-billed Dowitcher (Limnodromus scolopaceus) - SNA
ABNNF08040,LIMOfedo - Marbled Godwit (Limosa fedoa) - SNA
ABNNF08020,LIMOhaem - Hudsonian Godwit (Limosa haemastica) - S2S3M
ABNNF08030,LIMOlapp - Bar-tailed Godwit (Limosa lapponica) - SNA
ABNNF08010,LIMOlimo - Black-tailed Godwit (Limosa limosa) - SNA
ABNNF17010,LYMNmini - Jack Snipe (Lymnocryptes minimus) - SNA
ABNNF07070,NUMEamer - Long-billed Curlew (Numenius americanus) - SNA
ABNNF07060,NUMEarqu - Eurasian Curlew (Numenius arquata) - SNA
ABNNF07010,NUMEbore - Eskimo Curlew (Numenius borealis) - SXM
ABNNF07020,NUMEphae - Whimbrel (Numenius phaeopus) - S2S3M
ABNNF07022,NUMEphhu - Whimbrel (Numenius phaeopus hudsonicus) - S2S3M
ABNNF07021,NUMEphph - Eurasian Whimbrel (Numenius phaeopus phaeopus) - SNA
ABNNF20030,PHALfuli - Red Phalarope (Phalaropus fulicarius) - S2S3M
ABNNF20020,PHALloba - Red-necked Phalarope (Phalaropus lobatus) - S2S3M
ABNNF20010,PHALtric - Wilson's Phalarope (Phalaropus tricolor) - SNA
ABNNF19020,SCOLmino - American Woodcock (Scolopax minor) - S5B
ABNNF01050,TRINeryt - Spotted Redshank (Tringa erythropus) - SNA
ABNNF01030,TRINflav - Lesser Yellowlegs (Tringa flavipes) - S3M
ABNNF01020,"TRINmela - Greater Yellowlegs (Tringa melanoleuca) - S3B,S4M"
ABNNF01010,TRINnebu - Common Greenshank (Tringa nebularia) - SNA
ABNNF01080,TRINochr - Green Sandpiper (Tringa ochropus) - SNA
ABNNF02010,TRINsemi - Willet (Tringa semipalmata) - S3B
ABNNF02011,TRINsein - Western Willet (Tringa semipalmata inornata) - SNA
ABNNF01070,"TRINsoli - Solitary Sandpiper (Tringa solitaria) - SUB,S3S4M"
ABNNM10010,CHLIleuc - White-winged Tern (Chlidonias leucopterus) - SNA
ABNNM10020,CHLInige - Black Tern (Chlidonias niger) - S1B
ABNNM03050,CHROphil - Bonaparte's Gull (Chroicocephalus philadelphia) - S5M
ABNNM03040,CHROridi - Black-headed Gull (Chroicocephalus ridibundus) - S3N
ABNNM08010,GELOnilo - Gull-billed Tern (Gelochelidon nilotica) - SNA
ABNNM03030,HYDRminu - Little Gull (Hydrocoloeus minutus) - SNA
ABNNM08020,STERcasp - Caspian Tern (Hydroprogne caspia) - SNA
ABNNM03120,LARUarge - Herring Gull (Larus argentatus) - S5
ABNNM03110,LARUcali - California Gull (Larus californicus) - SNA
ABNNM03290,LARUcanu - Common Gull (Larus canus) - SNA
ABNNM03220,LARUcras - Black-tailed Gull (Larus crassirostris) - SNA
ABNNM03100,"LARUdela - Ring-billed Gull (Larus delawarensis) - SUB,S5N"
ABNNM03150,LARUfusc - Lesser Black-backed Gull (Larus fuscus) - SNA
ABNNM03270,LARUglau - Iceland Gull (Larus glaucoides) - S4N
ABNNM03142,LARUglku - Kumlien's  Gull (Larus glaucoides kumlieni) - S4N
ABNNM03130,LARUglth - Thayer's Gull (Larus glaucoides thayeri) - SNA
ABNNM03200,LARUhype - Glaucous Gull (Larus hyperboreus) - SNA
ABNNM03210,LARUmari - Great Black-backed Gull (Larus marinus) - S4S5
ABNNM03160,LARUschi - Slaty-backed Gull (Larus schistisagus) - SNA
ABNNM03010,LEUCatri - Laughing Gull (Leucophaeus atricilla) - SHB
ABNNM03020,LARUpipi - Franklin's Gull (Leucophaeus pipixcan) - SNA
ABNNM08140,ONYCanae - Bridled Tern (Onychoprion anaethetus) - SNA
ABNNM08150,ONYCfusc - Sooty Tern (Onychoprion fuscatus) - SNA
ABNNM07010,PAGOebur - Ivory Gull (Pagophila eburnea) - SNA
ABNNM05010,RHODrose - Ross' Gull (Rhodostethia rosea) - SNA
ABNNM04010,RISStrid - Black-legged Kittiwake (Rissa tridactyla) - S2S3B
ABNNM14010,RYNCnige - Black Skimmer (Rynchops niger) - SNA
ABNNM01030,STERlong - Long-tailed Jaeger (Stercorarius longicaudus) - SNA
ABNNM01050,STERmacc - South Polar Skua (Stercorarius maccormicki) - SNA
ABNNM01020,STERpara - Parasitic Jaeger (Stercorarius parasiticus) - SNA
ABNNM01010,STERpoma - Pomarine Jaeger (Stercorarius pomarinus) - SNA
ABNNM01060,STERskua - Great Skua (Stercorarius skua) - SNA
ABNNM08060,STERdoug - Roseate Tern (Sterna dougallii) - S1B
ABNNM08090,STERfors - Forster's Tern (Sterna forsteri) - SNA
ABNNM08070,STERhiru - Common Tern (Sterna hirundo) - S3B
ABNNM08080,STERpara - Arctic Tern (Sterna paradisaea) - S3B
ABNNM08100,STERanti - Least Tern (Sternula antillarum) - SNA
ABNNM08180,THALmaxi - Royal Tern (Thalasseus maximus) - SNA
ABNNM08050,THALsand - Sandwich Tern (Thalasseus sandvicensis) - SNA
ABNNM06010,XEMAsabi - Sabine's Gull (Xema sabini) - SNA
ABNNN03010,ALCAtord - Razorbill (Alca torda) - S2B
ABNNN01010,ALLEalle - Dovekie (Alle alle) - S5N
ABNNN05010,CEPPgryl - Black Guillemot (Cepphus grylle) - S4B
ABNNN12020,FRATarct - Atlantic Puffin (Fratercula arctica) - S2B
ABNNN04010,PINGimpe - Great Auk (Pinguinus impennis) - SXN
ABNNN02010,URIAaalg - Common Murre (Uria aalge) - S1?B
ABNNN02020,URIAlomv - Thick-billed Murre (Uria lomvia) - S5N
ABNPB01010,COLUlivi - Rock Pigeon (Columba livia) - SNA
ABNPB06020,COLUpass - Common Ground-Dove (Columbina passerina) - SNA
ABNPB05010,ECTOmigr - Passenger Pigeon (Ectopistes migratorius) - SXB
ABNPB01080,COLUfasc - Band-tailed Pigeon (Patagioenas fasciata) - SNA
ABNPB02030,STREdeca - Eurasian Collared-Dove (Streptopelia decaocto) - SNA
ABNPB04010,ZENAasia - White-winged Dove (Zenaida asiatica) - SNA
ABNPB04040,ZENAmacr - Mourning Dove (Zenaida macroura) - S5
ABNRB02020,COCCamer - Yellow-billed Cuckoo (Coccyzus americanus) - SNA
ABNRB02010,COCCeryt - Black-billed Cuckoo (Coccyzus erythropthalmus) - S3B
ABNRB02030,COCCmino - Mangrove Cuckoo (Coccyzus minor) - SNA
ABNRB11030,CROTsulc - Groove-billed Ani (Crotophaga sulcirostris) - SNA
ABNSA01010,TYTOalba - Barn Owl (Tyto alba) - SNA
ABNSB15020,"AEGOacad - Northern Saw-whet Owl (Aegolius acadicus) - S4B,SUM"
ABNSB15010,"AEGOfune - Boreal Owl (Aegolius funereus) - S2?B,SUM"
ABNSB13040,ASIOflam - Short-eared Owl (Asio flammeus) - S1B
ABNSB13010,ASIOotus - Long-eared Owl (Asio otus) - S2S3
ABNSB10010,ATHEcuni - Burrowing Owl (Athene cunicularia) - SNA
ABNSB06010,BUBOscan - Snowy Owl (Bubo scandiacus) - SNA
ABNSB05010,BUBOvirg - Great Horned Owl (Bubo virginianus) - S4
ABNSB01030,MEGAasio - Eastern Screech-Owl (Megascops asio) - SNA
ABNSB12040,STRInebu - Great Grey Owl (Strix nebulosa) - SNA
ABNSB12050,STRIvari - Barred Owl (Strix varia) - S5
ABNSB07010,SURNulul - Northern Hawk Owl (Surnia ulula) - SNA
ABNTA07010,ANTRcaro - Chuck-Will's-Widow (Antrostomus carolinensis) - SNA
ABNTA07070,ANTRvoci - Eastern Whip-Poor-Will (Antrostomus vociferus) - S1?B
ABNTA02020,CHORmino - Common Nighthawk (Chordeiles minor) - S3B
ABNUA03010,"CHAEpela - Chimney Swift (Chaetura pelagica) - S2S3B,S1M"
ABNUC45020,ARCHalex - Black-chinned Hummingbird (Archilochus alexandri) - SNA
ABNUC45010,ARCHcolu - Ruby-throated Hummingbird (Archilochus colubris) - S5B
ABNUC19020,CYNAlati - Broad-billed Hummingbird (Cynanthus latirostris) - SNA
ABNUC48010,SELAcall - Calliope Hummingbird (Selasphorus calliope) - SNA
ABNUC51020,SELArufu - Rufous Hummingbird (Selasphorus rufus) - SNA
ABNXD01020,MEGAalcy - Belted Kingfisher (Megaceryle alcyon) - S4S5B
ABNYF10020,COLAaura - Northern Flicker (Colaptes auratus) - S5B
ABNYF07030,DRYOpube - Downy Woodpecker (Dryobates pubescens) - S5
ABNYF07040,DRYOvill - Hairy Woodpecker (Dryobates villosus) - S5
ABNYF12020,DRYOpile - Pileated Woodpecker (Dryocopus pileatus) - S5
ABNYF04170,MELAcaro - Red-bellied Woodpecker (Melanerpes carolinus) - SU
ABNYF04040,MELAeryt - Red-headed Woodpecker (Melanerpes erythrocephalus) - SNA
ABNYF04010,MELAlewi - Lewis's Woodpecker (Melanerpes lewis) - SNA
ABNYF07090,PICOarct - Black-backed Woodpecker (Picoides arcticus) - S3S4
ABNYF07110,PICOdors - American Three-toed Woodpecker (Picoides dorsalis) - S1?
ABNYF05020,SPHYrube - Red-Breasted Sapsucker (Sphyrapicus ruber) - SNA
ABNYF05010,SPHYvari - Yellow-bellied Sapsucker (Sphyrapicus varius) - S5B
ABPAE32010,CONTcoop - Olive-sided Flycatcher (Contopus cooperi) - S3B
ABPAE32050,CONTsord - Western Wood-Pewee (Contopus sordidulus) - SNA
ABPAE32060,CONTvire - Eastern Wood-Pewee (Contopus virens) - S3S4B
ABPAE33030,EMPIalno - Alder Flycatcher (Empidonax alnorum) - S5B
ABPAE33180,EMPIdiff - Western Flycatcher (Empidonax difficilis) - SNA
ABPAE33010,"EMPIflav - Yellow-bellied Flycatcher (Empidonax flaviventris) - S4B,S5M"
ABPAE33080,EMPIhamm - Hammond's Flycatcher (Empidonax hammondii) - SNA
ABPAE33070,"EMPImini - Least Flycatcher (Empidonax minimus) - S4S5B,S5M"
ABPAE33090,EMPIober - Dusky Flycatcher (Empidonax oberholseri) - SNA
ABPAE33040,EMPItrai - Willow Flycatcher (Empidonax traillii) - S2B
ABPAE33020,EMPIvire - Acadian Flycatcher (Empidonax virescens) - SNA
ABPAE43050,MYIAcine - Ash-throated Flycatcher (Myiarchus cinerascens) - SNA
ABPAE43070,MYIAcrin - Great Crested Flycatcher (Myiarchus crinitus) - S1B
ABPAE49040,MYIOlute - Sulphur-bellied Flycatcher (Myiodynastes luteiventris) - SNA
ABPAE36010,PYROrubi - Vermilion Flycatcher (Pyrocephalus rubinus) - SNA
ABPAE35020,"SAYOphoe - Eastern Phoebe (Sayornis phoebe) - S4S5B,S4M"
